GameStatus,OffenseCategory,Date,AverageCrime
AwayL,13601,86,158.15116279069767
AwayW,10625,61,174.18032786885246
HomeL,7502,49,153.10204081632654
HomeW,16490,98,168.26530612244898
NoGame,226080,1165,194.06008583690988
