,Team,Game,Date,Home,Opponent,WINorLOSS,TeamPoints,OpponentPoints,FieldGoals,FieldGoalsAttempted,FieldGoals.,X3PointShots,X3PointShotsAttempted,X3PointShots.,FreeThrows,FreeThrowsAttempted,FreeThrows.,OffRebounds,TotalRebounds,Assists,Steals,Blocks,Turnovers,TotalFouls,Opp.FieldGoals,Opp.FieldGoalsAttempted,Opp.FieldGoals.,Opp.3PointShots,Opp.3PointShotsAttempted,Opp.3PointShots.,Opp.FreeThrows,Opp.FreeThrowsAttempted,Opp.FreeThrows.,Opp.OffRebounds,Opp.TotalRebounds,Opp.Assists,Opp.Steals,Opp.Blocks,Opp.Turnovers,Opp.TotalFouls
38114,POR,38,1/5/2018,Home,ATL,W,110,89,43,80,0.538,13,30,0.433,11,14,0.786,6,44,30,11,5,15,20,30,83,0.361,8,26,0.308,21,25,0.84,11,39,14,7,5,16,16
39114,POR,39,1/7/2018,Home,SAS,W,111,110,48,92,0.522,8,23,0.348,7,10,0.7,9,38,19,7,5,9,24,40,81,0.494,11,23,0.478,19,26,0.731,10,42,26,4,5,14,16
40114,POR,40,1/9/2018,Away,OKC,W,117,106,43,81,0.531,10,23,0.435,21,26,0.808,8,42,19,10,2,15,20,37,84,0.44,13,31,0.419,19,26,0.731,11,38,20,6,4,14,17
41153,POR,41,1/10/2018,Away,HOU,L,112,121,40,83,0.482,9,26,0.346,23,32,0.719,6,40,21,5,6,12,26,45,100,0.45,12,38,0.316,19,25,0.76,17,49,25,7,5,13,30
42130,POR,42,1/12/2018,Away,NOP,L,113,119,45,101,0.446,12,42,0.286,11,14,0.786,14,39,24,13,6,11,22,45,82,0.549,7,19,0.368,22,23,0.957,9,43,26,7,6,18,16
43117,POR,43,1/14/2018,Away,MIN,L,103,120,39,79,0.494,11,25,0.44,14,17,0.824,8,38,19,6,3,17,27,43,80,0.538,7,19,0.368,27,33,0.818,7,38,21,12,3,11,17
44114,POR,44,1/16/2018,Home,PHO,W,118,111,46,91,0.505,17,35,0.486,9,10,0.9,9,43,21,7,6,9,16,37,89,0.416,16,41,0.39,21,22,0.955,12,43,21,6,3,13,15
45114,POR,45,1/18/2018,Home,IND,W,100,86,37,94,0.394,10,32,0.313,16,16,1,14,57,17,6,7,11,11,36,91,0.396,7,26,0.269,7,13,0.538,10,46,17,4,4,8,16
46114,POR,46,1/20/2018,Home,DAL,W,117,108,45,86,0.523,18,36,0.5,9,10,0.9,9,40,19,3,3,14,23,38,83,0.458,10,25,0.4,22,28,0.786,11,37,19,9,5,9,21
47114,POR,47,1/22/2018,Away,DEN,L,101,104,36,85,0.424,8,25,0.32,21,26,0.808,11,44,19,11,6,11,22,34,83,0.41,10,30,0.333,26,33,0.788,14,49,23,7,8,15,20
48114,POR,48,1/24/2018,Home,MIN,W,123,114,45,82,0.549,17,31,0.548,16,21,0.762,6,37,24,4,1,10,16,45,84,0.536,6,16,0.375,18,22,0.818,5,33,20,7,2,6,14
49114,POR,49,1/26/2018,Away,DAL,W,107,93,39,79,0.494,10,30,0.333,19,23,0.826,10,54,20,4,6,14,17,35,89,0.393,10,30,0.333,13,17,0.765,8,37,17,9,3,5,19
50114,POR,50,1/30/2018,Away,LAC,W,104,96,36,98,0.367,13,30,0.433,19,22,0.864,18,59,21,12,6,12,21,35,85,0.412,6,22,0.273,20,26,0.769,9,50,22,5,7,13,17
51153,POR,51,1/31/2018,Home,CHI,W,124,108,46,82,0.561,15,32,0.469,17,20,0.85,5,48,21,3,6,17,19,41,99,0.414,13,34,0.382,13,22,0.591,12,36,19,10,4,6,16
52130,POR,52,2/2/2018,Away,TOR,L,105,130,37,73,0.507,7,21,0.333,24,33,0.727,4,36,20,4,2,10,15,46,99,0.465,19,40,0.475,19,21,0.905,17,42,21,5,4,6,23
53117,POR,53,2/4/2018,Away,BOS,L,96,97,36,91,0.396,13,31,0.419,11,14,0.786,10,46,21,4,9,8,17,35,85,0.412,15,36,0.417,12,17,0.706,9,51,24,3,6,11,16
54114,POR,54,2/5/2018,Away,DET,L,91,111,37,94,0.394,10,33,0.303,7,8,0.875,13,45,18,9,5,13,14,44,88,0.5,15,30,0.5,8,12,0.667,10,51,36,7,4,14,14
55114,POR,55,2/8/2018,Home,CHO,W,109,103,41,90,0.456,9,31,0.29,18,22,0.818,9,57,18,7,7,17,19,38,98,0.388,13,33,0.394,14,17,0.824,7,44,17,10,3,11,16
56114,POR,56,2/9/2018,Away,SAC,W,118,100,43,88,0.489,15,35,0.429,17,18,0.944,9,45,18,10,4,11,21,38,90,0.422,9,23,0.391,15,21,0.714,12,43,25,5,3,12,19
57114,POR,57,2/11/2018,Home,UTA,L,96,115,33,81,0.407,9,25,0.36,21,25,0.84,6,37,16,7,4,13,22,41,88,0.466,13,26,0.5,20,22,0.909,16,58,23,8,4,13,22
58114,POR,58,2/14/2018,Home,GSW,W,123,117,45,93,0.484,12,33,0.364,21,24,0.875,13,49,20,9,0,13,18,43,90,0.478,13,37,0.351,18,19,0.947,8,41,24,8,7,16,24
59114,POR,59,2/23/2018,Away,UTA,W,100,81,39,87,0.448,9,24,0.375,13,14,0.929,6,41,14,11,5,12,20,33,78,0.423,6,25,0.24,9,11,0.818,8,43,15,7,6,19,13
60114,POR,60,2/24/2018,Away,PHO,W,106,104,39,99,0.394,6,30,0.2,22,30,0.733,12,48,15,6,7,6,19,39,87,0.448,11,26,0.423,15,21,0.714,6,51,23,5,10,13,24
61153,POR,61,2/27/2018,Home,SAC,W,116,99,44,84,0.524,15,34,0.441,13,17,0.765,10,47,27,10,2,17,15,39,88,0.443,7,22,0.318,14,15,0.933,6,36,20,14,4,12,12
62130,POR,62,3/1/2018,Home,MIN,W,108,99,36,92,0.391,9,30,0.3,27,35,0.771,12,48,17,9,6,8,18,38,85,0.447,4,20,0.2,19,21,0.905,9,49,16,5,7,15,24
63117,POR,63,3/3/2018,Home,OKC,W,108,100,39,88,0.443,11,33,0.333,19,23,0.826,14,47,20,6,8,15,21,40,91,0.44,6,27,0.222,14,21,0.667,9,40,18,6,6,12,21
64114,POR,64,3/5/2018,Away,LAL,W,108,103,35,83,0.422,10,23,0.435,28,38,0.737,7,50,19,6,5,14,25,34,87,0.391,11,37,0.297,24,31,0.774,7,47,20,9,7,10,24
65114,POR,65,3/6/2018,Home,NYK,W,111,87,35,81,0.432,20,33,0.606,21,24,0.875,15,51,22,4,4,19,15,35,83,0.422,7,19,0.368,10,15,0.667,9,39,21,7,7,14,19
66114,POR,66,3/9/2018,Home,GSW,W,125,108,44,89,0.494,16,39,0.41,21,27,0.778,14,46,21,4,2,11,17,38,78,0.487,12,28,0.429,20,24,0.833,6,33,20,5,3,10,20
67114,POR,67,3/12/2018,Home,MIA,W,115,99,38,83,0.458,14,36,0.389,25,30,0.833,9,50,23,5,6,12,15,39,91,0.429,10,31,0.323,11,16,0.688,10,46,24,6,4,11,24
68114,POR,68,3/15/2018,Home,CLE,W,113,105,43,96,0.448,12,35,0.343,15,19,0.789,13,50,26,4,3,7,15,41,80,0.513,11,33,0.333,12,21,0.571,2,34,17,5,7,11,21
69114,POR,69,3/17/2018,Home,DET,W,100,87,38,87,0.437,8,31,0.258,16,18,0.889,9,49,23,8,8,11,17,31,80,0.388,10,25,0.4,15,20,0.75,8,43,17,6,2,12,16
70114,POR,70,3/18/2018,Away,LAC,W,122,109,46,92,0.5,14,29,0.483,16,20,0.8,8,47,24,7,6,13,22,40,89,0.449,9,23,0.391,20,27,0.741,8,38,21,8,3,8,17
71153,POR,71,3/20/2018,Home,HOU,L,111,115,40,81,0.494,11,28,0.393,20,27,0.741,10,44,20,6,7,8,18,38,79,0.481,19,36,0.528,20,29,0.69,7,38,18,3,4,9,23
72130,POR,72,3/23/2018,Home,BOS,L,100,105,40,91,0.44,8,33,0.242,12,15,0.8,11,43,16,8,5,8,20,35,77,0.455,11,18,0.611,24,26,0.923,9,45,22,5,4,13,18
73117,POR,73,3/25/2018,Away,OKC,W,108,105,42,90,0.467,9,34,0.265,15,19,0.789,18,49,20,8,7,13,19,37,84,0.44,8,27,0.296,23,28,0.821,13,39,16,9,5,10,19
74114,POR,74,3/27/2018,Away,NOP,W,107,103,44,105,0.419,10,32,0.313,9,10,0.9,17,47,20,11,7,10,17,43,94,0.457,4,24,0.167,13,14,0.929,11,54,28,3,10,16,19
75114,POR,75,3/28/2018,Away,MEM,L,103,108,38,79,0.481,8,30,0.267,19,30,0.633,8,38,15,7,8,12,20,41,84,0.488,13,25,0.52,13,23,0.565,11,46,23,7,2,15,24
76114,POR,76,3/30/2018,Home,LAC,W,105,96,41,95,0.432,8,30,0.267,15,16,0.938,13,50,30,9,10,10,25,36,89,0.404,4,13,0.308,20,35,0.571,11,46,13,5,5,10,16
77114,POR,77,4/1/2018,Home,MEM,W,113,98,39,84,0.464,12,38,0.316,23,25,0.92,8,43,28,9,2,13,15,40,88,0.455,9,21,0.429,9,12,0.75,9,42,20,7,5,17,19
78114,POR,78,4/3/2018,Away,DAL,L,109,115,39,87,0.448,10,40,0.25,21,24,0.875,5,46,28,6,2,13,20,42,92,0.457,17,44,0.386,14,20,0.7,8,43,27,8,5,7,16
79114,POR,79,4/5/2018,Away,HOU,L,94,96,39,85,0.459,7,22,0.318,9,14,0.643,12,47,16,10,2,18,20,34,73,0.466,13,37,0.351,15,24,0.625,6,38,16,10,5,15,16
80114,POR,80,4/7/2018,Away,SAS,L,105,116,42,88,0.477,11,28,0.393,10,11,0.909,11,40,18,4,5,13,17,47,84,0.56,7,21,0.333,15,21,0.714,4,36,21,12,3,7,12
81119,POR,81,4/9/2018,Away,DEN,L,82,88,31,94,0.33,7,33,0.212,13,18,0.722,18,57,10,8,2,17,28,31,83,0.373,6,26,0.231,20,26,0.769,10,52,22,7,5,12,18
82114,POR,82,4/11/2018,Home,UTA,W,102,93,41,89,0.461,9,24,0.375,11,16,0.688,7,46,19,9,9,10,22,33,89,0.371,8,23,0.348,19,24,0.792,14,53,18,5,7,14,19
